Ido_mp,UA_X,UA_Y,UA_Z,FA_X,FA_Y,FA_Z,H_X,H_Y,H_Z
0.01005,5.18476330786245,4.43505743296162,4.28790416295936,17.9950693792851,-1.37467595389601,-44.936979534453,-18.0247640310269,-8.80333307803358,-8.00685117619646
0.0564027,5.19206905666096,4.40903642940521,4.3148367928855,17.9746735677645,-1.384287310797,-44.9398733951223,-18.0449851304619,-8.81815490882815,-8.00761850558947
0.1026197,5.20655905299494,4.36108629264751,4.38648886262208,17.9714130143848,-1.35287123323673,-44.9627243360326,-18.0419053671408,-8.85983022963115,-7.97177268191475
0.1503,5.2162215913344,4.2982978603771,4.48552269330826,17.9842868980957,-1.35325391210684,-44.9570751823621,-18.0639943802658,-8.84265064656447,-7.98043093923888
0.1969967,5.21478448424028,4.31528764616826,4.45388846579553,17.9632666951039,-1.36379450499116,-44.9370789847723,-18.0310360384233,-8.8349667716115,-7.98471757926767
0.2433361,5.19802708929651,4.28191828482298,4.5074799121039,17.9662881067918,-1.36953146753884,-44.9474260640373,-18.0213618835979,-8.83899787742841,-7.99086000799589
0.290697,5.20143143649684,4.25734142887524,4.56776139903151,17.9843880349314,-1.33455176949962,-44.9300530703324,-18.0578033609906,-8.85934861766769,-7.95834141158076
0.3218846,5.18176082962232,4.2728479719587,4.53645991257904,17.9735202815667,-1.29038995683449,-44.947159176931,-18.0306190964379,-8.87140761783364,-7.95173667894833
0.3531186,5.19102627530089,4.25924554362394,4.58186140580308,17.9714225187317,-1.32264617122225,-44.9483855907854,-18.0033753107971,-8.84297136396596,-7.96381463520757
0.3995309,5.18364883442836,4.25341871933943,4.58348920596141,17.9727723890592,-1.2890928197164,-44.9288349599262,-17.9893619224513,-8.85621333751625,-7.96473750516813
0.4464555,5.17468474548747,4.23622034347421,4.61249837425585,17.9729776355249,-1.30194264293015,-44.9498889987909,-17.9860381896937,-8.82198310021585,-7.95764038117531
0.4942503,5.12312774569857,4.23560575952724,4.57003924658213,17.9463618658849,-1.3058784431665,-44.9238804821268,-17.9482786281272,-8.81382291110434,-7.98301240223336
0.5417049,5.12086255290374,4.15221623849148,4.65995488542999,17.9436942838661,-1.28672150844646,-44.9205348265785,-17.938297969177,-8.81228279742149,-7.96955156981376
0.5873677,5.1323656859685,4.094957245017,4.72347881850872,17.9946463856587,-1.30729388745294,-44.9344263472619,-18.0043014170507,-8.80146209305656,-7.93767279421291
0.6337961,5.1629471523447,4.05065066713238,4.77498520635205,18.0012272916088,-1.30178299288701,-44.944711614913,-18.0071287980257,-8.80587069354707,-7.91187936391056
0.6804411,5.17454294748639,4.05508063925207,4.78490041594592,17.9483529534655,-1.30049598785041,-44.9708202476678,-17.9635700111495,-8.80082903309616,-7.90095405034462
0.712437,5.17207515759106,4.04404604223671,4.83283389495088,17.9473686864043,-1.22373525921653,-45.0303248828168,-17.9479700759801,-8.83102295692937,-7.85206040004615
0.7452233,5.17184117098975,4.03305885617152,4.85428554307479,17.9271800545492,-1.18683147369258,-45.0254981557504,-17.8977352718503,-8.87223082208074,-7.84141766524839
0.7893069,5.15280256100019,4.02544623760674,4.87131102314421,17.8941982802224,-1.22992885278698,-45.0009780586393,-17.8619247361929,-8.85714598882676,-7.89481630117053
0.8367199,5.15344975676544,3.98749277379433,4.93290822645508,17.8864578277131,-1.23090225056277,-45.0018437461432,-17.8883525521824,-8.85718044501703,-7.9006455726167
0.8989108,5.1404249289396,3.90284534578552,5.05326912295395,17.9169258781012,-1.22877373607917,-45.0041403867768,-17.9195330087468,-8.8647077116144,-7.88897962412701
0.9456726,5.16475538969271,3.85776278230241,5.10415669121861,17.8670060076449,-1.26934258724311,-45.0011543034392,-17.8756151621842,-8.8061882669958,-7.93307126838528
0.9927959,5.14517368543666,3.87425487198418,5.0331144741226,17.8629940982004,-1.27753034568351,-45.0379237892071,-17.8652218811853,-8.79691126515002,-7.9270629082903
1.0413145,5.14461280609111,3.88128006405587,5.01987831112322,17.8914397752375,-1.25548948165151,-45.0908190942761,-17.925746632266,-8.81158770909551,-7.86928966922207
1.07462,5.12772470139012,3.89526190169539,4.99898583844201,17.8846761929744,-1.25854525494043,-45.1119475671608,-17.923191400597,-8.81869618593157,-7.85205204609928
1.1199795,5.12165102172636,3.89057684427334,4.9960702655551,17.833614176576,-1.26497981421379,-45.0854963032673,-17.8623252463295,-8.82174020343884,-7.88539257180749
1.1672758,5.08509601423495,3.85463693842318,5.02344248978622,17.8693088992503,-1.26516918033241,-45.1164483146343,-17.8854309767422,-8.82312097471974,-7.86748284489513
1.2148828,5.07924181736117,3.77746667286504,5.15926262277994,17.9156320148432,-1.25890627351475,-45.1534577301722,-17.9115007792819,-8.77856618865269,-7.83659451997458
1.2624549,5.084393300162,3.81172990751159,5.13458542458593,17.919995487194,-1.29252738785842,-45.1658214377388,-17.9382113760927,-8.7642480474754,-7.86097465388158
1.3236295,5.09054720020179,3.83388525595825,5.08715912161136,17.9348600092379,-1.24197861617022,-45.2134217419647,-17.9790232576169,-8.80226916350817,-7.80946753614916
1.3713467,5.088739647091,3.89268640739167,5.04618815899877,17.9421696861742,-1.28024392611884,-45.2449435176223,-17.9777412805548,-8.80958948238118,-7.80470497793091
1.4056326,5.07711011418028,3.92252173956224,4.98353182952626,17.9273027138736,-1.31374153192865,-45.2483877344417,-17.9893506082309,-8.79853505373047,-7.81921609455558
1.4489554,5.07417521431153,3.89010379195886,5.03425990817191,17.9510146084182,-1.25408038179925,-45.2631667999867,-18.0036947137056,-8.83359741924988,-7.78502683340708
1.4951506,5.06682965679322,3.86786348150403,5.06172243974229,17.9606906694128,-1.25798051592903,-45.2654733788835,-17.9786539160276,-8.82755434842498,-7.79374233573548
1.5417201,5.06695608708634,3.90095534278847,4.98427306350063,17.9307517011059,-1.28905867524777,-45.2786852825218,-17.9481124673694,-8.75025070075555,-7.8256503439508
1.6036495,5.05868163403168,3.92322333501655,4.93870733446566,17.9469290557543,-1.28859003874151,-45.2846173538713,-17.9391376752654,-8.7729936548106,-7.8065536570639
1.6657371,5.07614399246922,3.88234420303064,4.9318868474948,17.9490017767794,-1.30459238950463,-45.3038710578457,-18.0109001132041,-8.77423441814542,-7.77276559970632
1.712536,5.09194337652655,3.84767740396422,4.98076909788419,17.945393085667,-1.29826884693125,-45.3006337520606,-17.9874117008921,-8.78486832444098,-7.77920960035805
1.758901,5.08068291925948,3.85654798072904,4.98097544264555,18.0037241065132,-1.30680663841929,-45.3451475749083,-18.0395256937954,-8.77061117384363,-7.74095504246075
1.7899669,5.10508968942151,3.81044997359241,5.02210001285556,17.9826647949444,-1.28823779497446,-45.35674330394,-18.0446764600857,-8.78041813452341,-7.7238496166288
1.8229288,5.11162081251167,3.81012797976872,5.01206392019729,17.9755655061003,-1.28506128493904,-45.363527061305,-18.0477394500544,-8.77133809625726,-7.7169562311374
1.8832909,5.11455821039614,3.80597202019983,4.99776494984378,18.0036898135167,-1.32128492722694,-45.3744965284387,-18.0289683447489,-8.74158944087875,-7.70147238608521
1.9152927,5.13171080767276,3.77230258828507,5.00522542876137,17.9905994540387,-1.31592680958014,-45.3846186258189,-18.0592887220269,-8.7215868191033,-7.7042598117805
1.9620847,5.16363913698759,3.73313672862479,5.05238443788947,18.0017871166654,-1.31547257941461,-45.4253755280226,-18.0570291179376,-8.69433872608615,-7.65355073727049
2.0097687,5.17773455576834,3.77019883378844,5.03171958633366,18.0083640291002,-1.37072643067504,-45.4325677263992,-18.0588715609972,-8.69150712121264,-7.66617751253366
2.0563255,5.18310520449596,3.7722335224468,5.00925306818514,17.977788261876,-1.38405907862816,-45.4062650476525,-18.0393214450587,-8.68542081287353,-7.69777020329498
2.1019153,5.19086072307573,3.77523215012254,5.03441664360744,18.0144919538331,-1.37836671453833,-45.4222292402247,-18.0739403495857,-8.71038272772554,-7.68321681930416
2.1489358,5.22883956397412,3.73801307278682,5.07748646099368,17.978128600459,-1.40896997161591,-45.4137447418445,-18.0480081547951,-8.72045919987558,-7.70298679096462
2.1946543,5.22700473841297,3.74312763358633,5.09761573700249,17.9829718333517,-1.41413606827463,-45.4006371807434,-18.0494998053782,-8.71450303744268,-7.71791279921588
2.2409865,5.20717758985235,3.74581653243619,5.07802150881775,18.0090544425589,-1.39130297316231,-45.3957967791627,-18.0601931118186,-8.71147989990653,-7.71303883629155
2.2757284,5.20188330952101,3.74643199659386,5.08147164762178,18.0212832788494,-1.38090887412575,-45.4014139176654,-18.05458025213,-8.691335983139,-7.71162677027028
2.3346784,5.18885287104351,3.76059002204118,5.05750329305979,18.0302652089386,-1.31563654335983,-45.4311390851654,-18.0487786251149,-8.71713258655961,-7.67136314020478
2.3675466,5.1967064601657,3.74397823831342,5.07915853686837,18.0402840027747,-1.310540722132,-45.4172540977139,-18.0424867262961,-8.73671075654455,-7.66126335186039
2.4125046,5.19092481310192,3.71520907624813,5.10531424133946,18.0385866610331,-1.29289082621244,-45.3743428144282,-18.0404938637671,-8.75386565716788,-7.6801000118268
2.4740695,5.18488660078115,3.70580535395968,5.1357411230461,18.0277580430572,-1.28579684403186,-45.3726729644063,-18.0572913122406,-8.7536287326613,-7.67308947149171
2.5220956,5.16959763340246,3.64537399689667,5.18334947012931,17.9929908979678,-1.28504272135558,-45.3768616011736,-18.0159665491029,-8.72403874644904,-7.67450787917156
2.5686337,5.15804750691766,3.64174295390617,5.18954773778678,18.0228663058131,-1.29815761395845,-45.3904465398237,-18.00973100858,-8.73312212457075,-7.66181604516482
2.6152408,5.15484776605879,3.63102743867362,5.2334250156389,18.0195139442553,-1.31918895299872,-45.4100915447629,-18.0146122062042,-8.69185209583636,-7.66950658198798
2.6616238,5.13817581023891,3.61080081226015,5.21795042543413,18.0156934404153,-1.30669825622513,-45.4329094635468,-18.0280877903965,-8.63388796888273,-7.69003958253559
2.6942328,5.14249445892567,3.63954112530896,5.21001373676594,18.0250039506062,-1.28845455194003,-45.423613105423,-17.9847222909164,-8.67434041990873,-7.67717486515297
2.7265682,5.15700528652257,3.62232585875117,5.23870674731113,18.0238597346449,-1.26093269939614,-45.4248005901376,-17.9598354067386,-8.70584502785742,-7.65736315427797
2.7734631,5.17051857313578,3.61477844769945,5.26574740874394,18.0480307885022,-1.27674415767195,-45.4478135354047,-18.0072164154543,-8.7181547522019,-7.64980302361199
2.8201181,5.17589804686398,3.61306527846726,5.25832429719182,18.0565007322863,-1.28818877625332,-45.4575026099981,-18.0320421124539,-8.68142140663719,-7.63441692380283
2.882553,5.16634990075013,3.65330499089729,5.23235379321994,18.1001834089328,-1.28060300861829,-45.4726400914418,-18.062821072679,-8.70172313996446,-7.58422049924019
2.9292923,5.18428263513758,3.658886253443,5.20492880617,18.0748800918252,-1.28642481529579,-45.5026665665558,-18.0697538558322,-8.69978289772367,-7.54572233983299
